"replication","weight","speed","surface_roughness"
1,0.025,25,620.495802459487
2,0.025,25,623.214109442692
3,0.025,25,609.176669655669
1,0.05,25,598.641080457036
2,0.05,25,621.525614353097
3,0.05,25,607.22949677251
1,0.075,25,615.458226259058
2,0.075,25,596.804557395907
3,0.075,25,604.741022908425
1,0.1,25,607.715012374397
2,0.1,25,598.699210420351
3,0.1,25,601.091969416114
1,0.125,25,588.217673953927
2,0.125,25,602.207055457966
3,0.125,25,607.9215963209
1,0.15,25,603.029881488995
2,0.15,25,600.975683686004
3,0.15,25,602.680437679277
1,0.175,25,590.909656620508
2,0.175,25,593.965646297128
3,0.175,25,597.953584815287
1,0.2,25,588.41405742418
2,0.2,25,592.233499573704
3,0.2,25,583.729018586917
1,0.225,25,590.62550996703
2,0.225,25,578.984256710815
3,0.225,25,594.373918683543
1,0.25,25,584.716488480038
2,0.25,25,601.719504911028
3,0.25,25,590.327884145603
1,0.275,25,572.833444721228
2,0.275,25,582.535541293666
3,0.275,25,587.107822920301
1,0.3,25,582.126112096976
2,0.3,25,577.250131348036
3,0.3,25,581.967362931094
1,0.325,25,579.778109357502
2,0.325,25,559.407510330153
3,0.325,25,587.421300249984
1,0.35,25,578.33877071351
2,0.35,25,585.355825312872
3,0.35,25,580.029638152954
1,0.375,25,566.854836872853
2,0.375,25,567.614722421893
3,0.375,25,571.555998109829
1,0.4,25,565.250447008545
2,0.4,25,575.467394107121
3,0.4,25,566.141920602468
1,0.425,25,561.65170699659
2,0.425,25,569.126260855096
3,0.425,25,562.56281215483
1,0.45,25,560.457864219399
2,0.45,25,553.369086105233
3,0.45,25,560.001740384802
1,0.475,25,559.332591378515
2,0.475,25,543.221645570944
3,0.475,25,554.275283137192
1,0.5,25,554.094285742137
2,0.5,25,547.211047223636
3,0.5,25,565.063217687579
1,0.025,30,607.349884058207
2,0.025,30,608.421238857681
3,0.025,30,590.579130280451
1,0.05,30,605.086205068144
2,0.05,30,602.163107871312
3,0.05,30,597.845526377801
1,0.075,30,595.728876108101
2,0.075,30,609.691897988333
3,0.075,30,583.806955620816
1,0.1,30,590.984652071173
2,0.1,30,585.196507896721
3,0.1,30,587.647972119673
1,0.125,30,593.060242973939
2,0.125,30,588.600199051356
3,0.125,30,575.467937778
1,0.15,30,581.412542536043
2,0.15,30,583.872921439442
3,0.15,30,571.553147128332
1,0.175,30,584.903830136258
2,0.175,30,574.423037402039
3,0.175,30,565.383706517677
1,0.2,30,583.436433426304
2,0.2,30,581.414532043676
3,0.2,30,577.611666694892
1,0.225,30,581.822442711006
2,0.225,30,573.893814222478
3,0.225,30,582.505064449227
1,0.25,30,575.535337844584
2,0.25,30,571.697858084968
3,0.25,30,577.939041682925
1,0.275,30,550.442221785194
2,0.275,30,564.935899877983
3,0.275,30,555.603496376594
1,0.3,30,567.959182043164
